id;name;slug;provinceId
64.72;Kota Samarinda;kota-samarinda;23
64.74;Kota Bontang;kota-bontang;23
65.01;Bulungan;bulungan;24
65.02;Malinau;malinau;24
65.03;Nunukan;nunukan;24
65.04;Tana Tidung;tana-tidung;24
65.71;Kota Tarakan;kota-tarakan;24
71.01;Bolaang Mongondow;bolaang-mongondow;25
71.02;Minahasa;minahasa;25
71.03;Kepulauan Sangihe;kepulauan-sangihe;25
71.04;Kepulauan Talaud;kepulauan-talaud;25
71.05;Minahasa Selatan;minahasa-selatan;25
71.06;Minahasa Utara;minahasa-utara;25
71.07;Minahasa Tenggara;minahasa-tenggara;25
71.08;Bolaang Mongondow Utara;bolaang-mongondow-utara;25
71.09;Kepulauan Siau Tagulandang Biaro (Sitaro);kepulauan-siau-tagulandang-biaro-(sitaro);25
71.10;Bolaang Mongondow Timur;bolaang-mongondow-timur;25
71.11;Bolaang Mongondow Selatan;bolaang-mongondow-selatan;25
71.71;Kota Manado;kota-manado;25
71.72;Kota Bitung;kota-bitung;25
71.73;Kota Tomohon;kota-tomohon;25
71.74;Kota Kotamobagu;kota-kotamobagu;25
72.01;Banggai;banggai;26
72.02;Poso;poso;26
72.03;Donggala;donggala;26
72.04;Toli Toli;toli-toli;26
72.05;Buol;buol;26
72.06;Morowali;morowali;26
72.07;Banggai Kepulauan;banggai-kepulauan;26
72.08;Parigi Moutong;parigi-moutong;26
72.09;Tojo Una Una;tojo-una-una;26
72.10;Sigi;sigi;26
72.11;Banggai Laut;banggai-laut;26
72.12;Morowali Utara;morowali-utara;26
72.71;Kota Palu;kota-palu;26
73.01;Kepulauan Selayar;kepulauan-selayar;27
73.02;Bulukumba;bulukumba;27
73.03;Bantaeng;bantaeng;27
73.04;Jeneponto;jeneponto;27
73.05;Takalar;takalar;27
73.06;Gowa;gowa;27
73.07;Sinjai;sinjai;27
73.08;Bone;bone;27
73.09;Maros;maros;27
73.10;Pangkajene Kepulauan;pangkajene-kepulauan;27
73.11;Barru;barru;27
73.12;Soppeng;soppeng;27
73.13;Wajo;wajo;27
73.14;Sidenreng Rappang;sidenreng-rappang;27
73.15;Pinrang;pinrang;27
73.16;Enrekang;enrekang;27
73.17;Luwu;luwu;27
